ind,pop
SA1004,Khomani
SA063,Khomani
SA010,Khomani
SA064,Khomani
SA073,Khomani
SA1025,Khomani
SA078,Khomani
SA083,Khomani
SA047,Khomani
SA016,Khomani
SA018,Khomani
Yuk_009,Yukagir_Tundra
Yuk_025,Yukagir_Tundra
Yuk_022,Yukagir_Tundra
Yuk_020,Yukagir_Tundra
Yuk_024,Yukagir_Tundra
Yuk_023,Yukagir_Tundra
Yuk_004,Yukagir_Tundra
Yuk_019,Yukagir_Tundra
Yuk_011,Yukagir_Tundra
Yuk_021,Yukagir_Tundra
Ckrd8,Yukagir_Tundra
Ckrd9,Yukagir_Tundra
Ckrd13,Yukagir_Tundra
Ckrd18,Yukagir_Tundra
MC_40,Chukchi
MC_16,Chukchi
MC_15,Chukchi
MC_18,Chukchi
MC_08,Chukchi
MC_25,Chukchi
MC_17,Chukchi
MC_06,Chukchi
MC_38,Chukchi
MC_14,Chukchi
ADR00064,Chukchi
ADR00074,Chukchi
ADR00066,Chukchi
ADR00065,Chukchi
ADR00079,Chukchi
ADR00061,Chukchi
ADR00068,Chukchi
ADR00060,Chukchi
ADR00059,Chukchi
ADR00057,Chukchi
Nesk_25,Eskimo_Naukan
Nesk_22,Eskimo_Naukan
Nesk_15,Eskimo_Naukan
Nesk_23,Eskimo_Naukan
ADR00090,Eskimo_Naukan
ADR00092,Eskimo_Naukan
ADR00089,Eskimo_Naukan
ADR00093,Eskimo_Naukan
ADR00098,Eskimo_Naukan
ADR00102,Eskimo_Naukan
ADR00096,Eskimo_Naukan
Nesk19,Eskimo_Naukan
Nesk8,Eskimo_Naukan
Nov_005,Nganasan
ADR00514,Nganasan
ADR00513,Nganasan
ADR00509,Nganasan
ADR00512,Nganasan
ADR00504,Nganasan
ADR00507,Nganasan
ADR00511,Nganasan
ADR00510,Nganasan
ADR00508,Nganasan
ADR00515,Nganasan
Sesk_47,Chukchi_Reindeer
Ul5,Ulchi
Ul31,Ulchi
Ul65,Ulchi
Ul6,Ulchi
Ul33,Ulchi
Ul71,Ulchi
Ul10,Ulchi
Ul43,Ulchi
Ul72,Ulchi
Ul44,Ulchi
Ul74,Ulchi
Ul19,Ulchi
Ul24,Ulchi
Ul59,Ulchi
Ul56,Ulchi
Ul55,Ulchi
Ul16,Ulchi
Ul69,Ulchi
Ul1,Ulchi
Ul36,Ulchi
Ul25,Ulchi
Ul52,Ulchi
Ul70,Ulchi
Ul51,Ulchi
Ul39,Ulchi
Tuba12,Tubalar
Tuba20,Tubalar
Tuba13,Tubalar
Tuba21,Tubalar
Tuba29,Tubalar
Tuba6,Tubalar
Tuba22,Tubalar
Tuba30,Tubalar
Tuba15,Tubalar
Tuba23,Tubalar
Tuba31,Tubalar
Tuba16,Tubalar
Tuba24,Tubalar
Tuba1,Tubalar
Tuba9,Tubalar
Tuba17,Tubalar
Tuba25,Tubalar
Tuba2,Tubalar
Tuba10,Tubalar
Tuba18,Tubalar
Tuba11,Tubalar
Tuba19,Tubalar
Nel19,Yukagir_Forest
Nel13,Yukagir_Forest
Nel15,Yukagir_Forest
Nel16,Yukagir_Forest
Nel17,Yukagir_Forest
Nlk16,Even
Nlk1,Even
Nlk18,Even
Nlk3,Even
Nlk19,Even
Nlk5,Even
Nlk6,Even
Nlk9,Even
Nlk10,Even
Nlk14,Even
Esk20,Eskimo_Chaplin
Esk29,Eskimo_Chaplin
Esk38,Eskimo_Chaplin
Esk22,Eskimo_Chaplin
Kor66,Koryak
Kor30,Koryak
Kor40,Koryak
Kor49,Koryak
Kor54,Koryak
Kor61,Koryak
Kor2,Koryak
Kor22,Koryak
Kor35,Koryak
Kor72,Itelmen
Kor57,Itelmen
Kor60,Itelmen
Kor62,Itelmen
Kor76,Itelmen
Kor78,Itelmen
Ale9,Tlingit
Ale14,Tlingit
Ale16,Tlingit
Ale32,Tlingit
Sir77,Eskimo_Sireniki
Sir14,Eskimo_Sireniki
Sir26,Eskimo_Sireniki
Sir61,Eskimo_Sireniki
Sir43,Eskimo_Sireniki
HGDP00001,Brahui
HGDP00003,Brahui
HGDP00005,Brahui
HGDP00007,Brahui
HGDP00011,Brahui
HGDP00015,Brahui
HGDP00017,Brahui
HGDP00019,Brahui
HGDP00021,Brahui
HGDP00023,Brahui
HGDP00025,Brahui
HGDP00027,Brahui
HGDP00031,Brahui
HGDP00033,Brahui
HGDP00035,Brahui
HGDP00037,Brahui
HGDP00039,Brahui
HGDP00043,Brahui
HGDP00045,Brahui
HGDP00047,Brahui
HGDP00049,Brahui
HGDP00052,Balochi
HGDP00054,Balochi
HGDP00056,Balochi
HGDP00058,Balochi
HGDP00062,Balochi
HGDP00064,Balochi
HGDP00066,Balochi
HGDP00068,Balochi
HGDP00072,Balochi
HGDP00074,Balochi
HGDP00078,Balochi
HGDP00080,Balochi
HGDP00082,Balochi
HGDP00086,Balochi
HGDP00088,Balochi
HGDP00090,Balochi
HGDP00092,Balochi
HGDP00094,Balochi
HGDP00096,Balochi
HGDP00098,Balochi
HGDP00099,Hazara
HGDP00103,Hazara
HGDP00106,Hazara
HGDP00109,Hazara
HGDP00110,Hazara
HGDP00115,Hazara
HGDP00116,Hazara
HGDP00118,Hazara
HGDP00120,Hazara
HGDP00121,Hazara
HGDP00122,Hazara
HGDP00124,Hazara
HGDP00125,Hazara
HGDP00127,Hazara
HGDP00131,Makrani
HGDP00133,Makrani
HGDP00134,Makrani
HGDP00135,Makrani
HGDP00136,Makrani
HGDP00137,Makrani
HGDP00140,Makrani
HGDP00141,Makrani
HGDP00144,Makrani
HGDP00145,Makrani
HGDP00146,Makrani
HGDP00148,Makrani
HGDP00151,Makrani
HGDP00153,Makrani
HGDP00154,Makrani
HGDP00155,Makrani
HGDP00157,Makrani
HGDP00158,Makrani
HGDP00160,Makrani
HGDP00161,Makrani
HGDP00167,Sindhi
HGDP00169,Sindhi
HGDP00171,Sindhi
HGDP00179,Sindhi
HGDP00181,Sindhi
HGDP00183,Sindhi
HGDP00185,Sindhi
HGDP00187,Sindhi
HGDP00189,Sindhi
HGDP00191,Sindhi
HGDP00192,Sindhi
HGDP00195,Sindhi
HGDP00197,Sindhi
HGDP00201,Sindhi
HGDP00205,Sindhi
HGDP00206,Sindhi
HGDP00208,Sindhi
HGDP00210,Sindhi
HGDP00213,Pathan
HGDP00216,Pathan
HGDP00218,Pathan
HGDP00222,Pathan
HGDP00224,Pathan
HGDP00226,Pathan
HGDP00228,Pathan
HGDP00230,Pathan
HGDP00232,Pathan
HGDP00241,Pathan
HGDP00243,Pathan
HGDP00244,Pathan
HGDP00247,Pathan
HGDP00248,Pathan
HGDP00254,Pathan
HGDP00258,Pathan
HGDP00259,Pathan
HGDP00262,Pathan
HGDP00264,Pathan
HGDP00267,Kalash
HGDP00277,Kalash
HGDP00281,Kalash
HGDP00285,Kalash
HGDP00286,Kalash
HGDP00288,Kalash
HGDP00290,Kalash
HGDP00298,Kalash
HGDP00302,Kalash
HGDP00307,Kalash
HGDP00311,Kalash
HGDP00313,Kalash
