ind,pop,continent,country,latitude,longitude,sample_size,contributor,data_set,type,samples_size
SA1004,Khomani,Africa,South_Africa,-27.8,21.1,12,Brenna Henna,HOG,array,0
SA063,Khomani,Africa,South_Africa,-27.8,21.1,12,Brenna Henna,HOG,array,0
SA010,Khomani,Africa,South_Africa,-27.8,21.1,12,Brenna Henna,HOG,array,0
SA064,Khomani,Africa,South_Africa,-27.8,21.1,12,Brenna Henna,HOG,array,0
SA073,Khomani,Africa,South_Africa,-27.8,21.1,12,Brenna Henna,HOG,array,0
SA1025,Khomani,Africa,South_Africa,-27.8,21.1,12,Brenna Henna,HOG,array,0
SA078,Khomani,Africa,South_Africa,-27.8,21.1,12,Brenna Henna,HOG,array,0
SA083,Khomani,Africa,South_Africa,-27.8,21.1,12,Brenna Henna,HOG,array,0
SA047,Khomani,Africa,South_Africa,-27.8,21.1,12,Brenna Henna,HOG,array,0
SA016,Khomani,Africa,South_Africa,-27.8,21.1,12,Brenna Henna,HOG,array,0
SA018,Khomani,Africa,South_Africa,-27.8,21.1,12,Brenna Henna,HOG,array,0
Yuk_009,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Yuk_025,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Yuk_022,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Yuk_020,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Yuk_024,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Yuk_023,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Yuk_004,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Yuk_019,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Yuk_011,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Yuk_021,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ckrd8,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ckrd9,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ckrd13,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ckrd18,Yukagir_Tundra,CentralAsiaSiberia,Russia,68.6,153,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
MC_40,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
MC_16,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
MC_15,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
MC_18,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
MC_08,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
MC_25,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
MC_17,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
MC_06,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
MC_38,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
MC_14,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00064,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00074,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00066,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00065,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00079,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00061,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00068,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00060,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00059,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00057,Chukchi,CentralAsiaSiberia,Russia,69.5,168.8,24,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nesk_25,Eskimo_Naukan,CentralAsiaSiberia,Russia,66,169.7,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nesk_22,Eskimo_Naukan,CentralAsiaSiberia,Russia,66,169.7,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nesk_15,Eskimo_Naukan,CentralAsiaSiberia,Russia,66,169.7,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nesk_23,Eskimo_Naukan,CentralAsiaSiberia,Russia,66,169.7,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00090,Eskimo_Naukan,CentralAsiaSiberia,Russia,66,169.7,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
